t MA
5.714502540501995E-14 1.942816573718049E-9
5.715073990756045E-10 1.9430108371777544E-5
6.2860099395775994E-9 2.13711751792033E-4
3.4350435535920594E-8 0.0011678457510708843
1.0350645120402477E-7 0.0035190092660180657
2.3946469139206055E-7 0.008141304459644963
4.862601710573395E-7  0.016531807201445533
9.214709333057032E-7  0.03132793190722113
1.6790487038945004E-6 0.05708351188546771
2.9647881468544965E-6 0.10079441741745007
4.250527589814493E-6  0.14450440135241804
6.457635699806233E-6  0.21953507488699828
8.664743809797973E-6  0.29456303124321154
1.0871851919789712E-5 0.3695882695084127
1.4669775316242464E-5 0.49868301440138113
2.1819785878665945E-5 0.7416962776702595
2.8969796441089426E-5 0.9846809588327412
3.611980700351291E-5  1.2276370272712893
4.326981756593639E-5  1.4705644524196915
5.0419828128359865E-5 1.7134632037230422
5.7569838690783344E-5 1.9563332506307585
6.471984925320682E-5  2.1991745625994428
7.18698598156303E-5 2.4419871090959986
7.901987037805378E-5  2.6847708595991153
8.616988094047726E-5  2.927525783599666
9.331989150290074E-5  3.1702518506007094
1.0046990206532421E-4 3.4129490301174314
1.1161057127707816E-4 3.791045932251733
1.227512404888321E-4  4.169072512760386
1.3389190970058604E-4 4.547028656497922
1.4503257891233998E-4 4.924914248394694
1.5617324812409393E-4 5.302729173454769
1.6731391733584787E-4 5.680473316753621
1.784545865476018E-4  6.058146563437977
1.970457076400773E-4  6.688234996179608
2.156368287325528E-4  7.318125145932042
2.342279498250283E-4  7.947816480312168
2.528190709175038E-4  8.577308467505413
2.714101920099793E-4  9.206600576267293
2.900013131024548E-4  9.83569227592482
3.247187935580315E-4  11.009933965828406
3.594362740136082E-4  12.183471480694932
3.9415375446918494E-4 13.356301380822067
4.2887123492476166E-4 14.528420233588903
4.635887153803384E-4  15.699824613499837
5.497137356864849E-4  18.60266687429544
6.358387559926315E-4  21.50103920946658
7.21963776298778E-4 24.394889901352794
8.080887966049246E-4  27.2841675128223
8.942138169110712E-4  30.16882089132723
9.803388372172177E-4  33.04879917251261
0.0010664638575233643 35.92405178374578
0.0011525888778295109 38.79452844770061
0.0012387138981356574 41.660179185956366
0.0013800496571175166 46.35227655692859
0.0015213854160993758 51.031026028332455
0.001662721175081235  55.696212107475105
0.001804056934063094  60.347621601165216
0.0019453926930449532 64.9850436572392
0.0020867284520268126 69.60826979970719
0.002228064211008672  74.21709396242326
0.0023693999699905314 78.81131252458611
0.0025107357289723907 83.39072434667077
0.002741026514814936  90.82013097468143
0.0029713173006574813 98.2088560305476
0.0032016080865000266 105.55607313850207
0.003431898872342572  112.86097456128881
0.0036621896581851172 120.12277151099106
0.0038924804440276625 127.34069444363587
0.004122771229870208  134.5139933343215
0.004353062015712754  141.6419379296668
0.0045833528015552984 148.723817978093
0.004813643587397843  155.75894343984376
0.005043934373240388  162.74664467735207
0.005274225159082933  169.68627262533317
0.005504515944925478  176.5771989401464
0.005734806730768023  183.41881612868792
0.005965097516610568  190.2105376573342
0.0061953883024531125 196.9517980412362
0.006425679088295657  203.64205291407387
0.006655969874138202  210.28077907843834
0.006886260659980747  216.86747453715742
0.007116551445823292  223.40165850594124
0.007346842231665837  229.8828714077009
0.007577133017508382  236.31067484887737
0.0078074238033509265 242.68465157814552
0.008037714589193471  249.00440542789823
0.008268005375036016  255.2695612389407
0.008498296160878561  261.4797647688315
0.008728586946721106  267.63468258431715
0.008958877732563651  273.73400193832117
0.009189168518406196  279.77743063196544
0.00941945930424874 285.7646968621147
0.009649750090091285  291.69554905494203
0.00988004087593383 297.5697556860218
0.010110331661776375  303.3871050874647
0.01034062244761892 309.1474052426155
0.010570913233461465  314.85048356883885
0.01080120401930401 320.4961866889252
0.011031494805146555  326.08438019164674
0.0112617855909891  331.61494838199945
0.011612792831962057  339.93352624019934
0.011963800072935014  348.11774669388774
0.012314807313907971  356.1674422435124
0.012665814554880929  364.0825388464594
0.013016821795853886  371.86305341604026
0.013367829036826843  379.5090912555898
0.0137188362777998  387.0208434301436
0.014069843518772758  394.39858407286044
0.014420850759745715  401.64266763433704
0.014771858000718672  408.75352608966597
0.01512286524169163 415.7316661150635
0.015473872482664587  422.57766624084917
0.01600486558871885 432.6843996759855
0.016535858694773118  442.4927587262147
0.017066851800827385  452.0055928993663
0.01759784490688165 461.22605248754604
0.01852648180655247 476.6590816763953
0.019118459368799835  486.04515092041066
0.0197104369310472  495.08596903091563
0.020302414493294563  503.7875078330554
0.020894392055541926  512.1560060913471
0.02148636961778929 520.1979360458564
0.022078347180036654  527.9199715239134
0.022670324742284018  535.3289575057676
0.02326230230453138 542.4318811211518
0.023854279866778745  549.2358441676203
0.02444625742902611 555.7480372370642
0.025038234991273473  561.9757154602618
0.025630212553520836  567.9261758339599
0.0262221901157682  573.606736100951
0.026814167678015564  579.0247151675202
0.027406145240262927  584.1874150357139
0.02799812280251029 589.1021042094524
0.028590100364757655  593.7760025218851
0.02918207792700502 598.2162673297172
0.029774055489252382  602.4299810205654
0.030366033051499746  606.424139776653
0.03095801061374711 610.2056435295024
0.03154998817599447 613.7812870644458
0.03214196573824184 617.1577521733714
0.032733943300489204  620.3416008166848
0.03332592086273657 623.3392692376885
0.03391789842498394 626.1570629611266
0.034509875987231306  628.8011526103636
0.03510185354947867 631.2775704856655
0.03569383111172604 633.592207849777
0.03628580867397341 635.7508128665686
0.036877786236220775  637.758989138674
0.03746976379846814 639.622194792688
0.03806174136071551 641.345742064055
0.038653718922962876  642.9347973365577
0.039245696485210244  644.3943815933459
0.03983767404745761 645.7293712385389
0.04042965160970498 646.9444992509411
0.041021629171952345  648.0443566340202
0.04161360673419971 649.0333941287053
0.04220558429644708 649.9159241577698
0.04279756185869445 650.6961229727098
0.043389539420941814  651.3780329761595
0.04428247079964617 652.2292901510398
0.04517540217835053 652.878656053205
0.04606833355705489 653.3383563892934
0.04696126493575925 653.6199938197133
0.04785419631446361 653.734570985231
0.04874712769316797 653.6925137045234
0.05009433465343335 653.3543264831737
0.05144154161369874 652.7135801747942
0.05278874857396412 651.7993539142334
0.05413595553422951 650.638336286282
0.05548316249449489 649.2549956339955
0.05683036945476028 647.6717428763174
0.05817757641502566 645.909086442872
0.059524783375291046  643.9857789958473
0.06087199033555643 641.9189555383807
0.062219197295821815  639.7242627109432
0.0635664042560872  637.415979395713
0.06491361121635258 635.0071289282278
0.06626081817661797 632.5095832387071
0.06760802513688335 629.9341592441125
0.06895523209714874 627.2907078557082
0.07030243905741412 624.588196021592
0.07164964601767951 621.8347822438573
0.07299685297794489 619.0378859979644
0.07434405993821028 616.2042514648014
0.07569126689847566 613.340005976237
0.07703847385874105 610.4507135555441
0.07838568081900643 607.5414239767483
0.07973288777927182 604.6167176096083
0.0810800947395372  601.6807464308324
0.08242730169980259 598.7372715269769
0.08377450866006797 595.789697362554
0.08512171562033335 592.84110307009
0.08646892258059874 589.8942710154811
0.08781612954086412 586.9517128774389
0.08916333650112951 584.0156934550749
0.0905105434613949  581.0882523957707
0.09185775042166028 578.1712240211507
0.09320495738192566 575.2662554173799
0.09455216434219105 572.3748229427357
0.09589937130245643 569.4982472911577
0.09724657826272182 566.6377072378003
0.0985937852229872  563.7942521821229
0.09994099218325259 560.9688135946224
0.10128819914351797 558.1622154641072
0.10263540610378336 555.3751838336317
0.10398261306404874 552.6083555053237
0.10532982002431412 549.8622859873503
0.10667702698457951 547.1374567498585
0.1080242339448449  544.4342818474812
0.10937144090511028 541.7531139800212
0.11071864786537566 539.0942500138905
0.11206585482564105 536.4579360263375
0.11341306178590643 533.8443719202062
0.11476026874617182 531.2537156419402
0.1161074757064372  528.6860870330329
0.11745468266670259 526.1415713458507
0.11880188962696797 523.6202224656678
0.12014909658723336 521.1220658483116
0.12149630354749874 518.6471012059463
0.12284351050776413 516.1953049658157
0.12419071746802951 513.76663251871
0.1251607065242717  512.0322715326326
0.12613069558051387 510.3098360112573
0.12710068463675606 508.5992923832493
0.12781388361092666 507.34915421607604
0.12852708258509726 506.10540860387937
0.12924028155926787 504.86803836266824
0.12995348053343847 503.6370253600636
0.13066667950760907 502.41235057086675
0.13206917437601826 500.02245618090274
0.13347166924442744 497.656834883919
0.13487416411283662 495.3153163621601
0.1362766589812458  492.9977210182605
0.13767915384965498 490.703861193328
0.13908164871806417 488.4335421751782
0.14048414358647335 486.1865630921678
0.14188663845488253 483.96271774727563
0.1432891333232917  481.7617953959034
0.14539300609279732 478.50272184477046
0.14749687886230292 475.29401074764513
0.14960075163180853 472.1349125811648
0.15170462440131413 469.02466984551535
0.15380849717081974 465.96252040316034
0.15591236994032534 462.94769988950355
0.15801624270983095 459.9794438687808
0.16012011547933655 457.0569899852447
0.16411291739067096 451.63389805304456
0.16810571930200538 446.36792212924394
0.17086882105686543 442.81309889657194
0.1736319228117255  439.3294761556385
0.17639502456658554 435.91544939946294
0.1791581263214456  432.5694462468275
0.18192122807630565 429.2899278413326
0.1846843298311657  426.0753890133362
0.18744743158602575 422.92435850670535
0.1902105333408858  419.8353995342888
0.19297363509574586 416.80711012260974
0.1957367368506059  413.83812295218115
0.19849983860546597 410.9271049180042
0.20126294036032602 408.0727566901807
0.20402604211518607 405.2738122897934
0.20678914387004613 402.5290385615148
0.21106710855628266 398.38351831624743
0.2153450732425192  394.3606693674938
0.21962303792875573 390.4563566695206
0.22390100261499227 386.66661261744963
0.2281789673012288  382.9876301433386
0.23245693198746534 379.41575600288184
0.23673489667370187 375.9474840896271
0.2410128613599384  372.5794487252227
0.24529082604617494 369.3084181486971
0.24956879073241148 366.13128827288773
0.253846755418648 363.04507672439286
0.2581247201048845  360.0469171185866
0.26240268479112105 357.1340535528836
0.2666806494773576  354.30383535070246
0.2709586141635941  351.55371207898577
0.27399772848100035 349.64730382292163
0.27703684279840657 347.7792252839661
0.2800759571158128  345.9486468092222
0.283115071433219 344.1547603879589
0.28615418575062523 342.3967789353096
0.28919330006803146 340.67393560824576
0.2922324143854377  338.9854831412933
0.2952715287028439  337.330693202319
0.2983106430202501  335.70885577383666
0.30134975733765634 334.11927856106445
0.3059730935471134  331.76144371652885
0.3105964297565704  329.47440613582904
0.31521976596602747 327.2559466683311
0.3198431021754845  325.1039268655157
0.32446643838494155 323.016285239927
0.3290897745943986  320.99103370739766
0.33371311080385563 319.0262542166391
0.33833644701331267 317.12009558252385
0.3429597832227697  315.27077051298073
0.34758311943222675 313.47655280410345
0.3522064556416838  311.7357746858985
0.35682979185114083 310.04682431283805
0.3614531280605979  308.40814339515174
0.3660764642700549  306.8182249623416
0.37069980047951195 305.2756112482536
0.375323136688969 303.77889168891045
0.37994647289842604 302.326701026718
0.3845698091078831  300.91771751525823
